name,ttl,type,value
"jeldonmusic.com","3600","NETLIFY","animated-starship-8bc163.netlify.app"
"jeldonmusic.com","3600","NETLIFYv6","animated-starship-8bc163.netlify.app"
"www.jeldonmusic.com","3600","NETLIFY","animated-starship-8bc163.netlify.app"
"www.jeldonmusic.com","3600","NETLIFYv6","animated-starship-8bc163.netlify.app"
